#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
652.680657,1,9.450005
652.680657,1,9.46893
652.680657,1,9.484907
652.680657,1,9.506288
652.680657,1,9.524323
652.680657,1,9.543249
652.680657,1,9.562176
652.680657,1,9.585552
652.680657,1,9.604961
652.680657,1,9.624588
652.680657,1,9.644896
652.680657,1,9.667406
652.680657,1,9.689795
652.680657,1,9.710218
652.680657,1,9.729052
652.680657,1,9.751405
652.680657,1,9.770066
652.680657,1,9.790062
652.680657,1,9.809862
652.680657,1,9.83005
652.680657,1,9.848246
652.680657,1,9.866946
652.680657,1,9.887038
652.680657,1,9.910158
652.680657,1,9.92795
652.680657,1,9.944945
652.680657,1,9.963748
652.680657,1,9.98576
652.680657,1,10.031518
652.680657,1,10.052889
652.680657,1,10.072593
652.680657,1,10.094821
652.680657,1,10.117132
652.680657,1,10.136939
652.680657,1,10.155645
652.680657,1,10.176258
652.680657,1,10.207044
652.680657,1,10.227169
652.680657,1,10.244486
652.680657,1,10.266493
652.680657,1,10.2845
652.680657,1,10.304142
652.680657,1,10.320968
652.680657,1,10.345425
652.680657,1,10.365933
652.680657,1,10.385313
652.680657,1,10.402376
652.680657,1,10.426509
652.680657,1,10.44645
652.680657,1,10.466183
652.680657,1,10.483071
652.680657,1,10.503795
652.680657,1,10.524451
652.680657,1,10.546226
652.680657,1,10.565086
652.680657,1,10.588749
652.680657,1,10.614231
652.680657,1,10.63613
652.680657,1,10.658304
652.680657,1,10.686882
652.680657,1,10.71046
652.680657,1,10.733192
652.680657,1,10.754009
652.680657,1,10.78769
652.680657,1,10.808519
652.680657,1,10.828469
652.680657,1,10.846449
652.680657,1,10.877665
652.680657,1,10.902472
652.680657,1,10.920882
652.680657,1,10.939618
652.680657,1,10.966503
652.680657,1,10.993213
652.680657,1,11.010633
652.680657,1,11.028092
652.680657,1,11.049039
652.680657,1,11.06917
652.680657,1,11.09432
652.680657,1,11.114031
652.680657,1,11.144419
652.680657,1,11.168342
652.680657,1,11.191583
652.680657,1,11.213279
652.680657,1,11.240142
652.680657,1,11.259446
652.680657,1,11.279337
652.680657,1,11.302069
652.680657,1,11.327555
652.680657,1,11.350395
652.680657,1,11.369523
652.680657,1,11.392344
652.680657,1,11.412772
652.680657,1,11.433791
652.680657,1,11.452393
652.680657,1,11.472279
652.680657,1,11.492466
652.680657,1,11.513052
652.680657,1,11.531209
652.680657,1,11.549962
652.680657,1,11.571778
652.680657,1,11.59286
652.680657,1,11.612208
652.680657,1,11.631344
652.680657,1,11.653792
652.680657,1,11.674077
652.680657,1,11.702938
652.680657,1,11.723778
652.680657,1,11.745494
652.680657,1,11.764864
652.680657,1,11.782
652.680657,1,11.800965
652.680657,1,11.824591
652.680657,1,11.841308
652.680657,1,11.858279
652.680657,1,11.875626
652.680657,1,11.901528
652.680657,1,11.928845
652.680657,1,11.949925
652.680657,1,11.972365
652.680657,1,11.995146
652.680657,1,12.013153
652.680657,1,12.03022
652.680657,1,12.050148
652.680657,1,12.071805
652.680657,1,12.089943
652.680657,1,12.108634
652.680657,1,12.129222
652.680657,1,12.152402
652.680657,1,12.198927
652.680657,1,12.218184
652.680657,1,12.238067
652.680657,1,12.259782
652.680657,1,12.279766
652.680657,1,12.300095
652.680657,1,12.318195
652.680657,1,12.341529
652.680657,1,12.361043
652.680657,1,12.380267
652.680657,1,12.404354
652.680657,1,12.425911
652.680657,1,12.447194
652.680657,1,12.468125
652.680657,1,12.485948
652.680657,1,12.510179
652.680657,1,12.529024
652.680657,1,12.549001
652.680657,1,12.569174
652.680657,1,12.592627
652.680657,1,12.608478
652.680657,1,12.624353
652.680657,1,12.640481
652.680657,1,12.662291
652.680657,1,12.686222
652.680657,1,12.710174
652.680657,1,12.73304
652.680657,1,12.755055
652.680657,1,12.776982
652.680657,1,12.798051
652.680657,1,12.819756
652.680657,1,12.840542
652.680657,1,12.856877
652.680657,1,12.873544
652.680657,1,12.889779
652.680657,1,12.909944
652.680657,1,12.928963
652.680657,1,12.946665
652.680657,1,12.965908
652.680657,1,12.985983
652.680657,1,13.004544
652.680657,1,13.021891
652.680657,1,13.039418
652.680657,1,13.056869
652.680657,1,13.078659
