#{"t_start": 1682828368.962429, "env_id": null}
r,l,t
1611.721638,2,11.972475
1611.721638,2,12.016851
1611.721638,2,12.072303
1611.721638,2,12.113281
1611.721638,2,12.164337
1611.721638,2,12.202403
1611.721638,2,12.240012
1611.721638,2,12.278899
1611.721638,2,12.331069
1611.721638,2,12.368687
1611.721638,2,12.406192
1611.721638,2,12.447628
1611.721638,2,12.49522
1611.721638,2,12.540144
1611.721638,2,12.584706
1611.721638,2,12.625913
1611.721638,2,12.671211
1611.721638,2,12.713517
1611.721638,2,12.756633
1611.721638,2,12.796251
1611.721638,2,12.844326
1611.721638,2,12.889064
1611.721638,2,12.931864
1611.721638,2,12.972956
1611.721638,2,13.022922
1611.721638,2,13.067169
1611.721638,2,13.105853
1611.721638,2,13.145505
1611.721638,2,13.195268
1611.721638,2,13.235993
1611.721638,2,13.280096
1611.721638,2,13.320087
1611.721638,2,13.366989
1611.721638,2,13.402914
1611.721638,2,13.443613
1611.721638,2,13.485552
1611.721638,2,13.529993
1611.721638,2,13.569245
1611.721638,2,13.608032
1611.721638,2,13.645442
1611.721638,2,13.682654
1611.721638,2,13.718346
1611.721638,2,13.754621
1611.721638,2,13.789111
1611.721638,2,13.828306
1611.721638,2,13.892588
1611.721638,2,13.929494
1611.721638,2,13.966899
1611.721638,2,14.006687
1611.721638,2,14.042573
1611.721638,2,14.08018
1611.721638,2,14.114651
1611.721638,2,14.165858
1611.721638,2,14.206307
1611.721638,2,14.242955
1611.721638,2,14.281586
1611.721638,2,14.33028
1611.721638,2,14.374744
1611.721638,2,14.413413
1611.721638,2,14.450897
1611.721638,2,14.492932
1611.721638,2,14.529927
1611.721638,2,14.564976
1611.721638,2,14.604123
1611.721638,2,14.646373
1611.721638,2,14.683254
1611.721638,2,14.721656
1611.721638,2,14.757129
1611.721638,2,14.799794
1611.721638,2,14.836274
1611.721638,2,14.872005
1611.721638,2,14.909255
1611.721638,2,14.959631
1611.721638,2,15.00048
1611.721638,2,15.041145
1611.721638,2,15.081868
1611.721638,2,15.124065
1611.721638,2,15.165745
1611.721638,2,15.198633
1611.721638,2,15.234999
1611.721638,2,15.277573
1611.721638,2,15.311338
1611.721638,2,15.347144
1611.721638,2,15.387445
1611.721638,2,15.427254
1611.721638,2,15.46629
1611.721638,2,15.505542
1611.721638,2,15.543446
1611.721638,2,15.591382
1611.721638,2,15.633
1611.721638,2,15.670965
1611.721638,2,15.709982
1611.721638,2,15.756592
1611.721638,2,15.794846
1611.721638,2,15.834993
1611.721638,2,15.900157
1611.721638,2,15.95236
1611.721638,2,15.99287
1611.721638,2,16.03451
1611.721638,2,16.074542
1611.721638,2,16.12314
1611.721638,2,16.169925
1611.721638,2,16.211845
1611.721638,2,16.251229
1611.721638,2,16.294209
1611.721638,2,16.334597
1611.721638,2,16.37911
1611.721638,2,16.422442
1611.721638,2,16.474136
1611.721638,2,16.515161
1611.721638,2,16.556262
1611.721638,2,16.596931
1611.721638,2,16.644592
1611.721638,2,16.688223
1611.721638,2,16.729853
1611.721638,2,16.76851
1611.721638,2,16.815361
1611.721638,2,16.851406
1611.721638,2,16.895094
1611.721638,2,16.94075
1611.721638,2,16.99061
1611.721638,2,17.033811
1611.721638,2,17.07877
1611.721638,2,17.126354
1611.721638,2,17.177677
1611.721638,2,17.220831
1611.721638,2,17.262778
1611.721638,2,17.299966
1611.721638,2,17.344746
1611.721638,2,17.391891
1611.721638,2,17.427462
1611.721638,2,17.466969
1611.721638,2,17.513244
1611.721638,2,17.554421
1611.721638,2,17.594574
1611.721638,2,17.635723
1611.721638,2,17.679492
1611.721638,2,17.717908
1611.721638,2,17.762985
1611.721638,2,17.806499
1611.721638,2,17.855192
1611.721638,2,17.893025
1611.721638,2,17.928858
1611.721638,2,17.965937
1611.721638,2,18.006004
1611.721638,2,18.070857
1611.721638,2,18.11183
1611.721638,2,18.147512
1611.721638,2,18.200876
1611.721638,2,18.24127
1611.721638,2,18.278865
1611.721638,2,18.316993
1611.721638,2,18.359053
1611.721638,2,18.397401
1611.721638,2,18.435524
1611.721638,2,18.475499
1611.721638,2,18.518885
1611.721638,2,18.557823
1611.721638,2,18.599467
1611.721638,2,18.638676
1611.721638,2,18.686963
1611.721638,2,18.728772
1611.721638,2,18.76988
1611.721638,2,18.808941
1611.721638,2,18.857616
1611.721638,2,18.900595
1611.721638,2,18.944932
1611.721638,2,18.989128
1611.721638,2,19.044721
1611.721638,2,19.092729
1611.721638,2,19.140978
1611.721638,2,19.213864
1611.721638,2,19.268589
1611.721638,2,19.316634
1611.721638,2,19.359871
1611.721638,2,19.415
1611.721638,2,19.467879
1611.721638,2,19.515174
1611.721638,2,19.555304
1611.721638,2,19.594395
1611.721638,2,19.640553
1611.721638,2,19.683719
1611.721638,2,19.724646
1611.721638,2,19.7671
1611.721638,2,19.814928
1611.721638,2,19.855995
1611.721638,2,19.89997
1611.721638,2,19.940375
1611.721638,2,19.982902
1611.721638,2,20.023205
1611.721638,2,20.061341
1611.721638,2,20.096662
1611.721638,2,20.135341
1611.721638,2,20.175806
1611.721638,2,20.216816
