#{"t_start": 1688958427.8017845, "env_id": "None"}
r,l,t
0.0,1,22.656452
0.0,1,22.657633
0.0,1,22.658692
0.0,1,22.660649
0.0,1,22.661843
0.0,1,22.663317
0.0,1,22.6644
0.0,1,22.667948
0.0,1,22.66907
0.0,1,22.670166
0.0,1,22.671389
0.0,1,22.673149
0.0,1,22.674173
0.0,1,22.675342
0.0,1,22.676443
0.0,1,22.678183
0.0,1,22.679293
0.0,1,22.680729
557.001495,1,22.68186
0.0,1,22.683784
0.0,1,22.684862
0.0,1,22.685925
0.0,1,22.687078
0.0,1,22.6888
0.0,1,22.689918
0.0,1,22.691044
0.0,1,22.692134
0.0,1,22.694054
0.0,1,22.695159
0.0,1,22.696236
0.0,1,22.697783
0.0,1,22.7001
401.984701,1,22.70124
0.0,1,22.702304
0.0,1,22.703382
0.0,1,22.705324
0.0,1,22.706406
0.0,1,22.707527
0.0,1,22.708616
0.0,1,22.710445
0.0,1,22.711523
0.0,1,22.712609
0.0,1,22.713688
162.624551,2,22.718003
0.0,1,22.719641
0.0,1,22.720787
0.0,1,22.721871
464.963001,2,22.724704
0.0,1,22.725873
0.0,1,22.726957
0.0,1,22.728033
0.0,1,22.730088
0.0,1,22.731629
0.0,1,22.732739
0.0,1,22.733818
0.0,1,22.735862
0.0,1,22.736937
0.0,1,22.738119
0.0,1,22.739293
0.0,1,22.741355
0.0,1,22.742537
0.0,1,22.74365
0.0,1,22.744739
0.0,1,22.746643
0.0,1,22.748046
0.0,1,22.749219
0.0,1,22.750293
0.0,1,22.752255
0.0,1,22.753326
0.0,1,22.754479
0.0,1,22.755612
0.0,1,22.757453
0.0,2,22.759256
0.0,1,22.76036
0.0,1,22.76146
0.0,1,22.76359
0.0,1,22.765056
0.0,1,22.766153
0.0,1,22.767232
0.0,1,22.769196
0.0,1,22.770305
0.0,1,22.771429
0.0,1,22.772606
0.0,1,22.774715
0.0,1,22.775819
0.0,1,22.776903
0.0,1,22.778002
0.0,1,22.779819
0.0,1,22.781405
0.0,1,22.78252
0.0,1,22.783622
0.0,1,22.78561
0.0,1,22.786721
0.0,1,22.787879
0.0,1,22.788967
0.0,1,22.790899
0.0,1,22.791976
0.0,1,22.792978
0.0,1,22.793974
0.0,1,22.795996
0.0,1,22.797522
0.0,1,22.79863
0.0,1,22.799716
0.0,1,22.8017
0.0,1,22.804427
0.0,1,22.805609
0.0,1,22.806711
0.0,1,22.807888
0.0,1,22.809869
0.0,1,22.810966
0.0,1,22.812089
0.0,1,22.813326
0.0,1,22.815496
0.0,1,22.816595
0.0,1,22.817666
0.0,1,22.818729
0.0,1,22.82054
0.0,1,22.821706
0.0,1,22.822805
0.0,1,22.823941
0.0,1,22.825973
0.0,1,22.827141
0.0,1,22.828266
0.0,1,22.829488
0.0,1,22.831798
0.0,1,22.83291
0.0,1,22.833975
636.339484,1,22.835058
0.0,1,22.836862
0.0,1,22.837974
0.0,1,22.839107
0.0,1,22.840218
0.0,1,22.842042
0.0,1,22.84321
0.0,1,22.844305
0.0,1,22.845411
0.0,1,22.847905
0.0,1,22.849076
0.0,1,22.850148
0.0,1,22.851259
0.0,1,22.853193
0.0,1,22.854306
0.0,1,22.855403
0.0,1,22.856457
0.0,1,22.858286
0.0,1,22.85937
0.0,1,22.860506
0.0,1,22.861624
0.0,1,22.864133
0.0,1,22.86529
0.0,1,22.866845
0.0,1,22.868148
0.0,1,22.870071
0.0,1,22.871174
0.0,1,22.872217
0.0,1,22.873303
0.0,1,22.875193
0.0,1,22.876195
0.0,1,22.877213
0.0,1,22.878379
0.0,1,22.880833
0.0,1,22.882031
0.0,1,22.88313
0.0,1,22.884212
0.0,1,22.886136
0.0,1,22.887265
167.642754,2,22.888945
0.0,1,22.890069
0.0,1,22.892473
0.0,1,22.894273
0.0,1,22.896156
0.0,1,22.898083
0.0,1,22.900966
0.0,1,22.902363
0.0,1,22.903452
0.0,1,22.904551
0.0,1,22.906348
0.0,1,22.907486
0.0,1,22.908992
0.0,1,22.910863
0.0,1,22.914031
421.659473,1,22.915254
0.0,1,22.916366
0.0,1,22.917447
0.0,1,22.919505
0.0,1,22.921411
0.0,1,22.923108
0.0,1,22.924249
547.51502,2,22.926704
0.0,1,22.927858
0.0,1,22.928919
0.0,1,22.930035
0.0,1,22.932499
0.0,1,22.933673
0.0,1,22.934741
0.0,1,22.935846
0.0,1,22.937929
0.0,1,22.939035
0.0,1,22.940124
0.0,1,22.941806
0.0,1,22.944389
0.0,1,22.945726
0.0,1,22.949103
0.0,1,22.950289
0.0,1,22.95139
0.0,1,22.952461
0.0,1,22.954396
0.0,1,22.955539
0.0,1,22.956597
0.0,1,22.957721
0.0,1,22.959789
485.882847,2,22.96147
0.0,1,22.962534
0.0,1,22.963618
0.0,1,22.965965
0.0,1,22.967127
0.0,1,22.968193
0.0,1,22.969255
0.0,1,22.97121
0.0,1,22.972308
0.0,1,22.973382
0.0,1,22.974475
0.0,1,22.976774
0.0,1,22.978051
0.0,1,22.979325
0.0,1,22.980559
0.0,1,22.983078
0.0,1,22.984401
0.0,1,22.985647
0.0,1,22.986874
0.0,1,22.989181
0.0,1,22.990437
0.0,1,22.991709
0.0,1,22.992978
0.0,1,22.995125
0.0,1,22.996397
0.0,1,22.9979
0.0,1,22.999104
0.0,1,23.001094
0.0,1,23.002185
0.0,1,23.003262
0.0,1,23.004335
425.051215,2,23.006816
0.0,1,23.007984
0.0,1,23.009058
0.0,1,23.010135
0.0,1,23.012059
0.0,1,23.013223
0.0,1,23.014808
0.0,1,23.015916
0.0,1,23.017981
0.0,2,23.019683
0.0,1,23.020743
0.0,1,23.021806
0.0,1,23.023889
0.0,1,23.025016
0.0,1,23.026047
0.0,1,23.027159
0.0,1,23.029038
0.0,1,23.030287
0.0,1,23.031891
0.0,1,23.032997
0.0,1,23.035006
0.0,1,23.036077
0.0,1,23.037193
0.0,1,23.03832
0.0,1,23.040151
0.0,1,23.041216
0.0,1,23.04235
0.0,1,23.043483
0.0,1,23.045297
426.617308,1,23.046431
0.0,1,23.047689
0.0,1,23.049089
0.0,1,23.051218
0.0,1,23.052318
0.0,1,23.053389
0.0,1,23.054452
0.0,1,23.056374
0.0,1,23.057504
0.0,1,23.058548
0.0,1,23.059672
0.0,1,23.061548
0.0,1,23.062684
0.0,1,23.063749
0.0,1,23.065125
0.0,1,23.067355
0.0,1,23.068457
0.0,1,23.069502
0.0,1,23.070598
0.0,1,23.072525
0.0,1,23.073602
0.0,1,23.074692
0.0,1,23.075832
0.0,1,23.077873
0.0,1,23.079007
0.0,1,23.080099
0.0,1,23.081207
481.117077,1,23.083674
0.0,1,23.08644
0.0,1,23.087538
0.0,1,23.088633
0.0,1,23.089692
0.0,1,23.091628
0.0,1,23.092693
0.0,1,23.093721
0.0,1,23.094732
0.0,1,23.096452
0.0,1,23.097537
0.0,1,23.099003
0.0,1,23.100169
0.0,1,23.102265
0.0,1,23.103389
0.0,1,23.104464
0.0,1,23.105527
0.0,1,23.107468
0.0,1,23.108552
0.0,1,23.109649
0.0,1,23.110739
0.0,1,23.112527
0.0,1,23.113637
0.0,1,23.114733
0.0,1,23.116223
0.0,1,23.118227
0.0,1,23.119328
0.0,1,23.120377
0.0,1,23.121428
0.0,1,23.123392
0.0,1,23.124441
0.0,1,23.125522
0.0,1,23.126563
0.0,1,23.128295
0.0,1,23.129446
0.0,1,23.130524
0.0,1,23.131615
0.0,1,23.133839
0.0,1,23.134975
0.0,1,23.136027
0.0,1,23.137161
0.0,1,23.139102
0.0,1,23.140202
0.0,1,23.141282
0.0,1,23.142333
0.0,1,23.144221
0.0,1,23.145318
0.0,1,23.146407
0.0,1,23.147495
0.0,1,23.150329
0.0,1,23.151471
0.0,1,23.152519
0.0,1,23.153737
0.0,1,23.15586
0.0,1,23.156914
0.0,1,23.157979
0.0,1,23.159073
0.0,1,23.160984
0.0,1,23.162064
0.0,1,23.163181
0.0,1,23.164267
0.0,1,23.166974
0.0,1,23.169057
0.0,1,23.170951
0.0,1,23.172895
0.0,1,23.176212
0.0,1,23.178133
0.0,1,23.180029
0.0,1,23.18193
0.0,1,23.185039
0.0,1,23.187102
0.0,1,23.189028
0.0,1,23.191006
0.0,1,23.194158
0.0,1,23.196102
0.0,1,23.198081
0.0,1,23.200011
0.0,1,23.20323
0.0,1,23.205188
0.0,1,23.207149
0.0,1,23.209117
0.0,1,23.212229
0.0,1,23.214202
0.0,1,23.216206
0.0,1,23.218143
0.0,1,23.221245
0.0,1,23.223187
0.0,1,23.225251
0.0,1,23.227204
0.0,1,23.230292
0.0,1,23.232261
0.0,1,23.234184
0.0,1,23.236108
0.0,1,23.239357
0.0,1,23.241437
0.0,1,23.245571
0.0,1,23.247681
0.0,1,23.251103
0.0,1,23.253091
0.0,1,23.254968
0.0,1,23.256968
0.0,1,23.262626
0.0,1,23.264677
0.0,1,23.266553
0.0,1,23.268501
0.0,1,23.271553
0.0,1,23.273459
